Ref_base,Ref_roll
MXG_75798003,STELLA_7312764147
MXG_75800802,STELLA_7312761713
MXG_75800834,STELLA_7312794190
MXG_75801159,STELLA_7312803213
MXG_75801164,STELLA_7312818385
MXG_75801166,STELLA_7312803341
MXG_75805628,STELLA_7312776537
MXG_75916643,STELLA_7312806311
MXG_75916644,STELLA_7312806215
MXG_75939107,STELLA_7312755131
MXG_75977206,STELLA_7312815076
MXG_75977209,STELLA_7312812658
MXG_76028340,STELLA_7312779680
MXG_76054319,STELLA_7312758164
MXG_76054944,STELLA_7312803016
MXG_76077328,STELLA_7312764509
MXG_76077336,STELLA_7312794308
MXG_76177959,STELLA_7312764695
MXG_76194568,STELLA_7312782689
MXG_76195193,STELLA_7312737063
MXG_76217522,STELLA_7312740175
MXG_76220995,STELLA_7312812258
MXG_76221005,STELLA_7312794288
MXG_76255615,STELLA_7312731003
MXG_76255616,STELLA_7312731004
MXG_76255617,STELLA_7312731005
MXG_76255763,STELLA_7312731054
MXG_76255764,STELLA_7312731055
MXG_76255765,STELLA_7312731056
MXG_76256350,STELLA_7312755405
MXG_76333411,STELLA_7312761171
MXG_76340876,STELLA_7312752102
MXG_76341083,STELLA_7312758850
MXG_76386034,STELLA_7312807008
MXG_76390074,STELLA_7312749744
MXG_76435161,STELLA_7312779107
MXG_76453053,STELLA_7312785398
MXG_76458970,STELLA_7312749365
MXG_76459359,STELLA_7312737530
MXG_76478423,STELLA_7312770304
MXG_76498920,STELLA_7312740217
MXG_76499005,STELLA_7312749282
MXG_76499750,STELLA_7312755318
MXG_76500327,STELLA_7312764686
MXG_76507685,STELLA_7312806883
MXG_76507687,STELLA_7312806671
MXG_76507704,STELLA_7312785058
MXG_76550525,STELLA_7312785024
MXG_76579732,STELLA_7312806487
MXG_76586631,STELLA_7312761491
MXG_76586735,STELLA_7312770373
MXG_76603317,STELLA_7312806279
MXG_76611588,STELLA_7312755170
MXG_76631295,STELLA_7312773571
MXG_76634034,STELLA_7312806323
MXG_76706088,STELLA_7312782965
MXG_76728098,STELLA_7312743150
MXG_76730571,STELLA_7312758568
